Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,Peak Luminosity,RMS,Flux_mjy,RMS_mjy,File Path,fits_path,center_lum,Detection,Gaussian Did Subtract,Gaussian Fit Success,Gaussian Fit Error,Brightest In Center,Brightest Y,Brightest X,Brightest Value,Final Brightest In Center,Final Brightest Y,Final Brightest X,Final Brightest Value,New Peak 3x3,New RMS,New SNR,New Detection,Gaussian Amp,Gaussian Sigma X,Gaussian Sigma Y,Gaussian Offset,Gaussian Adjusted File Path
ZTF18aakfabl,3,11:45:11.17,+61:42:30.0,SN II,0.035,150.00000000000003,1511.628992216671,2.959060656088634e+28,6.946831340870262e+27,1.099142711609602,0.2580437131001687,final_luminosity_arrays\ZTF18aakfabl_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aakfabl_epoch_3.fits,2.4870169741290475e+28,True,True,True,,False,12.0,11.0,3.6762993145745244e+28,False,9,5,3.2689779661621134e+28,2.821352806941657e+28,7.156904237363432e+27,3.9421413412414603,False,1.507324123291966e+28,1.105561651209154,1.193421982899251,2.1689751912825584e+28,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aakfabl_epoch_3_gaussian_adjusted_13x13_lum.npy
ZTF18aamzgzi,1,14:54:16.42,+42:33:28.6,SN Ia,0.0179,76.71428571428571,305.2529718048716,9.103452437062274e+27,9.535590230845656e+26,1.2928149662911892,0.1354204131169434,final_luminosity_arrays\ZTF18aamzgzi_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aamzgzi_epoch_1.fits,2.9511115599199583e+27,True,True,True,,False,13.0,12.0,9.251265958736392e+27,True,5,5,4.1281327211205133e+27,4.1281327211205133e+27,9.26292443923266e+26,4.456619233161409,True,7.24818651217041e+27,1.1527629607994512,1.0806466903290697,2.003079446565982e+27,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aamzgzi_epoch_1_gaussian_adjusted_13x13_lum.npy
ZTF18aamzgzi,2,14:54:16.42,+42:33:28.6,SN Ia,0.0179,76.71428571428571,1233.6349346695931,8.738380516450665e+27,9.260724094366316e+26,1.2409697519615293,0.1315168806818474,final_luminosity_arrays\ZTF18aamzgzi_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aamzgzi_epoch_2.fits,3.591834311251439e+27,True,False,False,,True,13.0,13.0,8.738380516450665e+27,True,5,5,8.738380516450665e+27,8.738380516450665e+27,9.260858662494212e+26,9.4358210560328,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aamzgzi_epoch_2_gaussian_adjusted_13x13_lum.npy
ZTF18aamzgzi,3,14:54:16.42,+42:33:28.6,SN Ia,0.0179,76.71428571428571,2158.087238432241,1.0155543762159876e+28,8.659629831863002e+26,1.4422263484448192,0.1229803945934341,final_luminosity_arrays\ZTF18aamzgzi_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aamzgzi_epoch_3.fits,4.681038457582393e+27,True,False,False,,True,14.0,13.0,1.0155543762159876e+28,True,6,5,1.0155543762159876e+28,1.0155543762159876e+28,8.659755665454725e+26,11.727286720885337,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aamzgzi_epoch_3_gaussian_adjusted_13x13_lum.npy
ZTF18aanlyba,1,16:26:36.66,+39:51:30.9,SN Ia,0.031,132.85714285714286,-1492.2599418040918,1.541410036702283e+28,2.257729381671377e+27,0.7298457785509528,0.1069033004380982,final_luminosity_arrays\ZTF18aanlyba_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aanlyba_epoch_1.fits,1.4267360058403903e+28,True,False,False,,True,14.0,13.0,1.541410036702283e+28,True,6,5,1.541410036702283e+28,1.541410036702283e+28,2.257762188870155e+27,6.827158521392574,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aanlyba_epoch_1_gaussian_adjusted_13x13_lum.npy
ZTF18aanlyba,2,16:26:36.66,+39:51:30.9,SN Ia,0.031,132.85714285714286,-456.3724539282432,9.144808945057332e+27,2.8724973492627366e+27,0.4329996590968221,0.1360125131155209,final_luminosity_arrays\ZTF18aanlyba_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aanlyba_epoch_2.fits,8.927789183739827e+27,False,False,False,Original Detection is False; no Gaussian subtraction attempted,,,,,False,3,5,9.303452295421781e+27,9.144808945057333e+27,2.872539089691103e+27,3.1835281120719983,False,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aanlyba_epoch_2_gaussian_adjusted_13x13_lum.npy
ZTF18aanlyba,3,16:26:36.66,+39:51:30.9,SN Ia,0.031,132.85714285714286,409.77691561588887,1.0294519921067372e+28,2.7878555450597026e+27,0.4874375881627202,0.1320047306515122,final_luminosity_arrays\ZTF18aanlyba_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aanlyba_epoch_3.fits,8.009023779188626e+27,False,False,False,Original Detection is False; no Gaussian subtraction attempted,,,,,False,4,6,1.1324088207457247e+28,1.0294519921067372e+28,2.787896055553021e+27,3.692576665676762,False,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aanlyba_epoch_3_gaussian_adjusted_13x13_lum.npy
ZTF18aarlpzd,1,11:28:30.43,+58:33:46.8,SN Ib,0.01,42.85714285714285,-843.8254606937713,1.3639294438753512e+28,1.536175714327597e+27,6.206234917044642,0.6990101971166176,final_luminosity_arrays\ZTF18aarlpzd_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aarlpzd_epoch_1.fits,5.211342821126427e+27,True,True,True,,False,8.0,9.0,5.8554946380264595e+28,False,8,4,2.5464077437901246e+28,1.3639294438304628e+28,1.4561060380510128e+27,9.36696509861378,False,4.827593407861751e+28,1.2404540533759318,1.1012475239402113,1.0279012301647085e+28,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aarlpzd_epoch_1_gaussian_adjusted_13x13_lum.npy
ZTF18aarlpzd,2,11:28:30.43,+58:33:46.8,SN Ib,0.01,42.85714285714285,146.2735492072188,1.6158316114972205e+28,1.96707827650653e+27,7.352455519139769,0.8950849573914166,final_luminosity_arrays\ZTF18aarlpzd_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aarlpzd_epoch_2.fits,5.821749844160224e+27,True,True,True,,False,8.0,10.0,6.709888859517834e+28,False,9,4,2.836704194483453e+28,1.615831610966005e+28,2.0858049591080182e+27,7.746801079891025,False,5.292653671244829e+28,1.2057481128551373,1.1088254753477669,1.4172351882730053e+28,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aarlpzd_epoch_2_gaussian_adjusted_13x13_lum.npy
ZTF18aarlpzd,3,11:28:30.43,+58:33:46.8,SN Ib,0.01,42.85714285714285,1056.1745393062288,1.5211367861491444e+28,1.5369700363724285e+27,6.921569351106884,0.6993716396286643,final_luminosity_arrays\ZTF18aarlpzd_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aarlpzd_epoch_3.fits,4.891105452907088e+27,True,True,True,,False,8.0,10.0,6.242630800916475e+28,False,8,4,2.5644624943586865e+28,1.5211367850450865e+28,1.5399149370673145e+27,9.87805721231596,False,5.290738633904556e+28,1.1898907977008586,1.1322205621587027,9.518921670119195e+27,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aarlpzd_epoch_3_gaussian_adjusted_13x13_lum.npy
