Name,Epoch,Rest_DeltaT,New Peak 3x3 mJy,New RMS mJy
ZTF18acjpret,3,197.7028251706,0.6376194036866076,0.1882356464491769
ZTF18acnbgrb,1,119.48041534515384,0.5810313741676509,0.1650070957642757
ZTF18acnbgrb,2,1066.746985253233,0.5466986913233995,0.13780126535835724
ZTF18acnbgrb,3,1985.9535648371711,0.7042547373888195,0.14870324260966847
ZTF18acpdvos,1,-291.3180266418008,0.18896815890911967,0.13281114898717505
ZTF18acpdvos,2,645.8263605327088,0.5708994576707482,0.15589914481854877
ZTF18acpdvos,3,1485.431229858443,16.297824680805203,0.13705424559997556
ZTF18acqnzso,1,-1761.8744923211418,2.1589831449091434,0.11249857840300306
ZTF18acqnzso,2,-714.4029695676801,1.991543686017394,0.13212358194323323
ZTF18acqnzso,3,88.43814345345818,2.0445387344807386,0.11457322246979457
ZTF18acqugen,1,-370.2209405751721,0.8432869217358531,0.15137349999894187
ZTF18acqugen,2,508.8479466314895,0.6560891051776707,0.11642863641475808
ZTF18acqugen,3,1435.229475776077,0.6801018025726081,0.14144289795258397
ZTF18acskxpn,1,124.954459203082,0.49103633500635624,0.14678914895902104
ZTF18acskxpn,2,1001.6148007590592,0.5301209748722613,0.13864039313310175
ZTF18acskxpn,3,1897.250474383348,0.6043638568371534,0.13761089101622997
ZTF18actxcuh,1,206.13356584992323,2.543595745094977,0.2128727584661583
ZTF18actxcuh,2,1102.4479884490477,2.6875308249145746,0.21181211086092727
ZTF18actxcuh,3,1996.88727627286,2.563042135231367,0.17974250874394504
ZTF18acxijqw,1,88.71515989389822,1.4957153471186755,0.12772772270372915
ZTF18acxijqw,2,1006.3077524864908,1.529284054413438,0.11743324995740582
ZTF18acxijqw,3,1894.2707154494533,1.4612157829105854,0.12851072108386052
ZTF19aainjqn,1,-419.067375361468,0.6209884252497377,0.17913980587817965
ZTF19aainjqn,2,504.8298616719785,1.2515522271575648,0.22472063444431314
ZTF19aainjqn,3,1448.1163376777952,1.2050167914518763,0.15166006291250944
ZTF19aakisqk,1,-415.4317548745826,0.9598659235052766,0.13811632650716305
ZTF19aakisqk,2,487.0752089137182,0.2653628327895031,0.15819699322137998
ZTF19aakisqk,3,1359.8700092851202,0.38966849162666356,0.1478376230350788
ZTF19aakkths,1,124.19795462179448,0.9765216964296995,0.12921848803480124
ZTF19aakkths,2,960.8237942108896,0.25967572582885623,0.1454671275529707
ZTF19aakkths,3,1919.9308665143271,0.07111080776667221,0.1266485989954491
ZTF19aakpfax,1,-469.0557553339999,0.19365200840160962,0.13198977056606556
ZTF19aakpfax,2,501.4044724648703,0.3013245295733214,0.14356706632143512
ZTF19aakpfax,3,1337.5930084404235,1.023286604322493,0.12809667259435567
ZTF19aakswrb,1,32.531679457500005,-0.049650701839709654,0.1511435435362704
ZTF19aakswrb,2,920.4488666786316,0.21202056086622176,0.17561032167826945
ZTF19aakswrb,3,1740.545243619556,0.7572568720206617,0.13446837475510387
ZTF19aakykjl,1,93.7864077670807,0.6248908466659486,0.14926181819118906
ZTF19aakykjl,2,924.8543689321292,0.5069974577054381,0.13967263696339588
ZTF19aakykjl,3,1902.5242718447505,0.4355532901421568,0.1325505326209733
ZTF19aambfxc,1,-792.879052132686,0.4165506688877941,0.1061285927206812
ZTF19aambfxc,2,181.5285308057028,0.8490781765431166,0.1469243002276842
ZTF19aambfxc,3,1067.784454976319,0.25982563965953887,0.12772578461326717
