Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,File Path,RMS
ZTF18aabtxvd,3,07:56:54.54,+34:15:43.6,TDE,0.071,304.2857142857142,2164.962651727184,final_luminosity_arrays\ZTF18aabtxvd_epoch_3_lum.npy,1.278022146685755e+28
ZTF18aabxlsv,1,10:29:51.62,+09:00:46.5,SN Ib,0.048,205.7142857142857,-110.93511450360351,final_luminosity_arrays\ZTF18aabxlsv_epoch_1_lum.npy,5.257029712082628e+27
ZTF18aabxlsv,2,10:29:51.62,+09:00:46.5,SN Ib,0.048,205.7142857142857,809.8664122139537,final_luminosity_arrays\ZTF18aabxlsv_epoch_2_lum.npy,7.197423867372773e+27
ZTF18aabxlsv,3,10:29:51.62,+09:00:46.5,SN Ib,0.048,205.7142857142857,1688.6832061070834,final_luminosity_arrays\ZTF18aabxlsv_epoch_3_lum.npy,7.1285412430772e+27
ZTF18aaceepu,1,09:47:59.44,+34:44:30.5,SN Ia,0.04077,174.72857142857143,-1151.566724158395,final_luminosity_arrays\ZTF18aaceepu_epoch_1_lum.npy,4.999872021032775e+27
ZTF18aaceepu,2,09:47:59.44,+34:44:30.5,SN Ia,0.04077,174.72857142857143,-265.6841564441063,final_luminosity_arrays\ZTF18aaceepu_epoch_2_lum.npy,3.864800599700069e+27
ZTF18aaceepu,3,09:47:59.44,+34:44:30.5,SN Ia,0.04077,174.72857142857143,632.6891633095377,final_luminosity_arrays\ZTF18aaceepu_epoch_3_lum.npy,4.6099681827204273e+27
ZTF18aacemcn,1,09:46:03.55,+33:31:41.7,SN II,0.038,162.85714285714286,-182.4985170020921,final_luminosity_arrays\ZTF18aacemcn_epoch_1_lum.npy,3.3353538929692745e+27
ZTF18aacemcn,2,09:46:03.55,+33:31:41.7,SN II,0.038,162.85714285714286,705.748111128929,final_luminosity_arrays\ZTF18aacemcn_epoch_2_lum.npy,3.92866698975024e+27
ZTF18aacemcn,3,09:46:03.55,+33:31:41.7,SN II,0.038,162.85714285714286,1606.5188240383702,final_luminosity_arrays\ZTF18aacemcn_epoch_3_lum.npy,3.797682345610552e+27
ZTF18aacnlxz,1,08:59:49.12,+38:06:32.6,SN II,0.07247,310.58571428571435,-528.1712961666059,final_luminosity_arrays\ZTF18aacnlxz_epoch_1_lum.npy,1.244305993488426e+28
ZTF18aacnlxz,2,08:59:49.12,+38:06:32.6,SN II,0.07247,310.58571428571435,331.52641099536595,final_luminosity_arrays\ZTF18aacnlxz_epoch_2_lum.npy,1.2537934270873322e+28
ZTF18aacnlxz,3,08:59:49.12,+38:06:32.6,SN II,0.07247,310.58571428571435,1248.1021660281408,final_luminosity_arrays\ZTF18aacnlxz_epoch_3_lum.npy,1.3719965616957185e+28
ZTF18aadlaxo,1,08:02:35.75,+50:55:21.1,SN Ia,0.05295,226.92857142857144,-668.8484733367837,final_luminosity_arrays\ZTF18aadlaxo_epoch_1_lum.npy,8.340420935824304e+27
ZTF18aadlaxo,2,08:02:35.75,+50:55:21.1,SN Ia,0.05295,226.92857142857144,265.6688351773907,final_luminosity_arrays\ZTF18aadlaxo_epoch_2_lum.npy,5.817361142851669e+27
ZTF18aadlaxo,3,08:02:35.75,+50:55:21.1,SN Ia,0.05295,226.92857142857144,1143.203380977286,final_luminosity_arrays\ZTF18aadlaxo_epoch_3_lum.npy,8.100832986688533e+27
ZTF18aadmssd,1,06:50:25.81,+43:03:11.6,SN IIn,0.01885,80.78571428571429,100.69195661760904,final_luminosity_arrays\ZTF18aadmssd_epoch_1_lum.npy,3.266133486875498e+27
ZTF18aadmssd,2,06:50:25.81,+43:03:11.6,SN IIn,0.01885,80.78571428571429,980.1148353534386,final_luminosity_arrays\ZTF18aadmssd_epoch_2_lum.npy,2.446810000196579e+27
ZTF18aadmssd,3,06:50:25.81,+43:03:11.6,SN IIn,0.01885,80.78571428571429,1941.9836089707524,final_luminosity_arrays\ZTF18aadmssd_epoch_3_lum.npy,2.1349567095116596e+27
ZTF18aadsuxd,1,08:38:08.15,+31:40:04.5,SN II,0.03057,131.0142857142857,-531.225923517988,final_luminosity_arrays\ZTF18aadsuxd_epoch_1_lum.npy,2.700753649004481e+27
ZTF18aadsuxd,2,08:38:08.15,+31:40:04.5,SN II,0.03057,131.0142857142857,383.801682564083,final_luminosity_arrays\ZTF18aadsuxd_epoch_2_lum.npy,2.205279829639584e+27
ZTF18aadsuxd,3,08:38:08.15,+31:40:04.5,SN II,0.03057,131.0142857142857,1304.651309469582,final_luminosity_arrays\ZTF18aadsuxd_epoch_3_lum.npy,3.345209563881965e+27
ZTF18aadxnul,1,06:34:01.85,+43:24:32.5,SN Ia,0.064,274.2857142857143,-813.43139097737,final_luminosity_arrays\ZTF18aadxnul_epoch_1_lum.npy,1.247843984318979e+28
ZTF18aadxnul,2,06:34:01.85,+43:24:32.5,SN Ia,0.064,274.2857142857143,28.67387218052465,final_luminosity_arrays\ZTF18aadxnul_epoch_2_lum.npy,1.1138782035811875e+28
ZTF18aadxnul,3,06:34:01.85,+43:24:32.5,SN Ia,0.064,274.2857142857143,949.726503759472,final_luminosity_arrays\ZTF18aadxnul_epoch_3_lum.npy,1.075962156091338e+28
ZTF18aadzfso,1,07:07:17.67,+43:18:59.1,SN Ia,0.05,214.28571428571428,-244.9387235451667,final_luminosity_arrays\ZTF18aadzfso_epoch_1_lum.npy,6.892491378228043e+27
ZTF18aadzfso,2,07:07:17.67,+43:18:59.1,SN Ia,0.05,214.28571428571428,597.9184193119761,final_luminosity_arrays\ZTF18aadzfso_epoch_2_lum.npy,5.972761775021357e+27
ZTF18aadzfso,3,07:07:17.67,+43:18:59.1,SN Ia,0.05,214.28571428571428,1517.918419311976,final_luminosity_arrays\ZTF18aadzfso_epoch_3_lum.npy,6.903609482013671e+27
