Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,Peak Luminosity,RMS,Flux_mjy,RMS_mjy,File Path,fits_path,center_lum
ZTF18acqsqry,1,13:07:48.16,+14:01:41.5,SN Ia,0.07,300.00000000000006,145.32052613359605,3.489625426398429e+28,1.4436539347900978e+28,0.3240552323404699,0.1340632165535768,final_luminosity_arrays\ZTF18acqsqry_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqsqry_epoch_1.fits,7.383678349424455e+27
ZTF18acqsqry,2,13:07:48.16,+14:01:41.5,SN Ia,0.07,300.00000000000006,1033.1709934233156,4.3140555381790055e+28,1.244780135390349e+28,0.4006138478871435,0.1155950362000645,final_luminosity_arrays\ZTF18acqsqry_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqsqry_epoch_2.fits,2.256910707082098e+28
ZTF18acqsqry,3,13:07:48.16,+14:01:41.5,SN Ia,0.07,300.00000000000006,1909.8065074420072,2.2263010986424144e+28,1.2502555489567858e+28,0.2067398163489997,0.116103504010104,final_luminosity_arrays\ZTF18acqsqry_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqsqry_epoch_3.fits,2.2263010986424144e+28
ZTF18acqsroy,1,13:08:52.08,+09:27:45.4,SN II,0.0334,143.14285714285714,169.82094345166226,4.0608911542925686e+27,3.604392618231044e+27,0.165639808983542,0.1470218130928381,final_luminosity_arrays\ZTF18acqsroy_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqsroy_epoch_1.fits,4.0608911542925686e+27
ZTF18acqsroy,2,13:08:52.08,+09:27:45.4,SN II,0.0334,143.14285714285714,1068.7952031768411,2.9296158642693386e+27,2.9585493148655136e+27,0.1194961878354661,0.1206781087598543,final_luminosity_arrays\ZTF18acqsroy_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqsroy_epoch_2.fits,2.152762748673482e+26
ZTF18acqsroy,3,13:08:52.08,+09:27:45.4,SN II,0.0334,143.14285714285714,2016.1534381294248,2.2489967128785844e+27,3.19275427605296e+27,0.0917343932087533,0.1302312406398145,final_luminosity_arrays\ZTF18acqsroy_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqsroy_epoch_3.fits,-3.5966744592325297e+26
ZTF18acqsztr,1,13:34:41.94,+08:08:33.4,SN Ia,0.0835,357.85714285714283,-353.6634855535368,2.7366140437459834e+28,2.154858306177821e+28,0.1785981294233352,0.1406333698632018,final_luminosity_arrays\ZTF18acqsztr_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqsztr_epoch_1.fits,2.1701278438455435e+28
ZTF18acqsztr,2,13:34:41.94,+08:08:33.4,SN Ia,0.0835,357.85714285714283,529.5852454109303,2.350737855393844e+28,1.8955657143985253e+28,0.1534149050712586,0.1237110548980169,final_luminosity_arrays\ZTF18acqsztr_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqsztr_epoch_2.fits,1.726085002781913e+27
ZTF18acqsztr,3,13:34:41.94,+08:08:33.4,SN Ia,0.0835,357.85714285714283,1394.375277713653,-1.42551287391811e+27,2.010096050838229e+28,-0.0093032458607922,0.1311856935408014,final_luminosity_arrays\ZTF18acqsztr_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqsztr_epoch_3.fits,-1.9809232484760965e+28
ZTF18acqugen,1,12:59:06.86,+08:57:11.7,SN Ia,0.0568,243.42857142857144,-370.2209405751721,5.979098814584741e+28,1.073257440068424e+28,0.8432869217358527,0.1513734999989418,final_luminosity_arrays\ZTF18acqugen_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqugen_epoch_1.fits,5.979098814584741e+28
