Transient Name,Epoch,Peak Flux,RMS Flux,redshift,dt,Luminosity (erg/s/Hz),RA,Dec,Unique FITS Part
ZTF20aahidaa,VLASS2.2,0.228,0.102,0.068,627.88,1.2234324057199996e+28,23:42:16.48,+33:04:16.0,T19t30/VLASS2.2.ql.T19t30.J234300+333000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahidph,VLASS1.1v2,0.252,0.118,0.043,-830.13,5.463156126753499e+27,01:09:16.76,+02:12:03.2,T11t02/VLASS1.1.ql.T11t02.J011001+023000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahidph,VLASS2.1,0.449,0.173,0.043,219.87,8.009542457019961e+27,01:09:16.76,+02:12:03.2,T11t02/VLASS2.1.ql.T11t02.J011001+023000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahidph,VLASS3.1,0.295,0.118,0.043,1149.87,5.463156126753499e+27,01:09:16.76,+02:12:03.2,T11t02/VLASS3.1.ql.T11t02.J011001+023000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahirkk,VLASS1.1v2,0.243,0.103,0.044,-847.15,5.000248387040162e+27,00:06:33.12,+03:16:07.3,T11t01/VLASS1.1.ql.T11t01.J000600+033000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahirkk,VLASS2.1,0.343,0.169,0.044,195.85,8.204291042813472e+27,00:06:33.12,+03:16:07.3,T11t01/VLASS2.1.ql.T11t01.J000600+033000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahirqq,VLASS1.1v2,0.504,0.13,0.0663,-788.11,1.47879186448798e+28,00:40:45.50,+08:59:27.7,T13t02/VLASS1.1.ql.T13t02.J004201+083000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahirqq,VLASS2.1,0.367,0.151,0.0663,238.89,1.7176736272129614e+28,00:40:45.50,+08:59:27.7,T13t02/VLASS2.1.ql.T13t02.J004201+083000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahirqq,VLASS3.1,0.429,0.13,0.0663,1113.89,1.47879186448798e+28,00:40:45.50,+08:59:27.7,T13t02/VLASS3.1.ql.T13t02.J004201+083000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahjymt,VLASS1.2v2,0.355,0.133,0.07,-283.23,1.6951680321323453e+28,08:32:38.53,-04:17:09.6,T09t13/VLASS1.2.ql.T09t13.J083404-043000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahjymt,VLASS2.2,0.479,0.125,0.07,,1.5932030377183695e+28,08:32:38.53,-04:17:09.6,T09t13/VLASS2.2.ql.T09t13.J083404-043000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahkgcz,VLASS1.1v2,0.57,0.158,0.04113,-858.24,6.674662094880784e+27,09:36:31.53,+59:24:16.3,T25t08/VLASS1.1.ql.T25t08.J093924+593000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahkgcz,VLASS2.1,0.4,0.153,0.04113,211.76,6.46343861086557e+27,09:36:31.53,+59:24:16.3,T25t08/VLASS2.1.ql.T25t08.J093924+593000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahkgcz,VLASS3.1,0.385,0.141,0.04113,1130.76,5.956502249229054e+27,09:36:31.53,+59:24:16.3,T25t08/VLASS3.1.ql.T25t08.J093924+593000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahmvfw,VLASS1.2v2,0.335,0.114,0.04,-210.29,4.547483166409627e+27,08:21:53.25,-23:28:57.3,T05t13/VLASS1.2.ql.T05t13.J082353-233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahmvfw,VLASS2.2,0.25,0.122,0.04,752.71,4.8666047921225824e+27,08:21:53.25,-23:28:57.3,T05t13/VLASS2.2.ql.T05t13.J082353-233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahptds,VLASS1.1v2,0.241,0.115,0.07656,-857.43,1.7692465995357448e+28,13:00:53.07,+62:47:45.4,T26t10/VLASS1.1.ql.T26t10.J130354+623000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahptds,VLASS2.1,0.368,0.135,0.07656,154.57,2.07694166032457e+28,13:00:53.07,+62:47:45.4,T26t10/VLASS2.1.ql.T26t10.J130354+623000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahptds,VLASS3.1,0.33,0.117,0.07656,1085.57,1.8000161056146276e+28,13:00:53.07,+62:47:45.4,T26t10/VLASS3.1.ql.T26t10.J130354+623000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits
